# wavelength[A]  extinction[mag/airmass]
3200  0.856
3300  0.588
3400  0.514
3500  0.448
3600  0.400
3700  0.359
3800  0.323
3900  0.292
4000  0.265
4100  0.241
4200  0.220
4300  0.202
4400  0.185
4500  0.171
4600  0.159
4700  0.147
4800  0.139
4900  0.130
5000  0.125
5100  0.119
5200  0.114
5300  0.113
5400  0.109
5500  0.106
5600  0.107
5700  0.108
5800  0.103
5900  0.098
6000  0.098
6100  0.092
6200  0.084
6300  0.078
6400  0.070
6500  0.065
6600  0.060
6700  0.056
6800  0.052
6900  0.048
7000  0.044
7100  0.042
7200  0.039
7300  0.037
7400  0.035
7500  0.033
7600  0.032
7700  0.030
7800  0.029
7900  0.028
8000  0.027
8100  0.026
8200  0.025
8300  0.024
8400  0.023
8500  0.023
8600  0.022
8700  0.021
8800  0.021
8900  0.020
9000  0.019
9100  0.019
9200  0.018
9300  0.018
9400  0.017
9500  0.017
9600  0.016
9700  0.016
9800  0.015
9900  0.015
10000 0.014
